"barcode","ptype","circ"
"21743003481579","0","4"
"21743004808291","0","4"
"21743004679536","2","4"
"21743004742185","0","4"
"21743004913596","0","4"
"21743004907267","15","4"
"21743003994449","0","4"
"21743004889671","0","4"
"21743004659496","4","4"
"21743002759272","0","4"
"21743003164548","0","4"
"21743004654323","2","4"
"21743003782422","0","4"
"21743003985637","2","4"
"21743004503025","2","4"
"21743001192590","0","4"
"21743002331882","0","4"
"21743004062543","0","4"
"21743005384946","10","4"
"21743005533633","2","4"
"21743005387501","0","4"
"21743005608765","2","4"
"21743005329073","0","4"
"21743005480629","0","4"
"21743005588330","0","4"
"21743005383914","0","4"
"21743005275466","1","4"
"21743005376330","0","4"
"21743005460308","2","4"
"21743005663562","0","4"
"21743005668884","1","4"
"21743005536347","2","4"
"21743005700810","10","4"
"21743005447362","3","4"
"21743005399746","0","4"
"21743005176599","0","4"
"21743005235155","6","4"
"21743005084132","4","4"
"21743004872644","6","4"
"21743005198221","0","4"
"21743005292438","19","4"
"21743005369913","10","4"
"21743004891099","0","4"
"21743005603154","0","4"
"21743005355169","5","4"
"21743005573985","3","4"
"21743005386164","0","4"
"21743005482476","1","4"
"21743005605209","2","4"
"21743005705462","0","4"
"21743005330477","0","4"
"21743005370481","2","4"
"21743005439575","6","4"
"21743005364526","3","4"
"21743005491170","2","4"
"21743005370846","2","4"
"21743001877604","0","4"
"21743005003579","0","4"
"21743005520077","2","4"
"21743005444161","0","4"
"21743005456694","0","4"
"21743005475397","9","4"
"21743005056270","2","4"
"21743005532916","10","4"
"21743004676052","0","4"
"21743005372131","1","4"
"21743005372859","2","4"
"21743005283320","1","4"
"21743005588694","0","4"
"21743005659115","2","4"
"21743005598149","2","4"
"21743005520549","2","4"
"21743005119748","0","4"
"21743005371638","0","4"
"21743003995750","0","4"
"21743005452883","0","4"
"21743005317896","6","4"
"21743005057708","0","4"
"21743005197066","0","4"
"21743005573399","2","4"
"21743005311352","6","4"
"21743005476973","0","4"
"21743005475710","0","4"
"21743005030838","0","4"
"21743005243308","0","4"
"21743005284989","0","4"
"21743005051578","7","4"
"21743005119144","2","4"
"21743005264411","0","4"
"21743005301718","0","4"
"21743005236971","0","4"
"21743005197363","0","4"
"21743005086574","2","4"
"21743005262910","0","4"
"21743005212469","1","4"
"21743005266077","2","4"
"21743005179742","2","4"
"21743005258025","0","4"
"21743005701008","3","4"
"21743005081831","4","4"
"21743005148358","0","4"
"21743004994737","0","4"
"21743005022991","4","4"
"21743005174784","8","4"
"21743005178934","2","4"
"21743004507208","0","4"
"21743005269865","0","4"
"21743005308861","12","4"
"21743004838009","1","4"
"21743005190731","0","4"
"21743005110028","6","4"
"21743005167069","0","4"
"21743005567813","0","4"
"21743005374905","1","4"
"21743005273859","0","4"
"21743005494190","2","4"
"21743005592217","0","4"
"21743005328216","10","4"
"21743005320049","8","4"
"21743005565874","19","4"
"21743005724430","2","4"
"21743005668439","0","4"
"21743005667373","4","4"
"21743005068952","10","4"
"21743005668504","6","4"
"21743005692728","0","4"
"21743005701404","4","4"
"21743005602347","0","4"
"21743005610522","2","4"
"21743005490834","2","4"
"21743005385398","0","4"
"21743005533104","2","4"
"21743001557974","0","4"
"21743005462486","0","4"
"21743005610183","2","4"
"21743003491834","0","4"
"21743003488954","0","4"
"21743005002647","0","4"
"21743005430590","2","4"
"21743003506995","8","4"
