P BARCODE,P TYPE,HOME LIBR,RECORD #
"21743004831855","0","r","p11009949"
"21743003149457","2","r","p11010502"
"21743004948998","0","drive","p11012808"
"21743005358270","0","m","p11015482"
"21743004015228","2","m","p11016073"
"21743005285093","10","s","p11018586"
"21743005725015","0","s","p1101877x"
"21743003526522","4","g","p1101961x"
"21743004905030","4","g","p11019724"
"21743004007670","10","r","p11021287"
"21743004950028","0","r","p11021329"
"21743005480488","0","c","p11022243"
"21743003146438","0","m","p11022607"
"21743005463872","2","m","p11024963"
"21743004010898","2","m","p11025037"
"21743005114871","6","l","p11026285"
"21743003994829","8","m","p11027071"
"21743002321974","19","m","p11027502"
"21743001823244","0","c","p11027654"
"21743004036315","6","r","p11028932"
"21743004502548","2","m","p11031025"
"21743004040622","2","m","p11032157"
"21743002313641","8","m","p11032327"
"21743004031530","4","r","p11034282"
"21743004001970","0","c","p11036497"
"21743004010435","4","g","p11036680"
"21743003959889","0","c","p11041031"
"21743002279677","0","m","p11048414"
"21743002307312","0","r","p11048785"
"21743002291649","4","g","p11052776"
"21743005610985","0","r","p11053033"
"21743004022372","8","n","p11054220"
"21743003313053","0","s","p11054256"
"21743004827234","6","l","p11058201"
"21743004044848","6","r","p11058900"
"21743005259643","2","m","p11061066"
"21743004018578","6","l","p11064249"
"21743004030771","0","r","p11069648"
"21743004631396","0","r","p1107002x"
"21743002304277","6","a","p11070845"
"21743002231066","2","a","p11074279"
"21743004005658","0","m","p11074486"
"21743004818647","13","m","p11076082"
"21743004599601","0","m","p11076549"
"21743002439685","0","a","p1107971x"
"21743003986676","0","r","p1108019x"
"21743002302909","6","l","p1108098x"
"21743002373546","4","r","p11081788"
"21743002373983","0","c","p11082847"
"21743003020898","2","m","p11083013"
"21743002377679","2","m","p11084844"
"21743003294014","0","r","p11086166"
"21743003082153","4","r","p11086713"
"21743004033775","0","c","p11086968"
"21743002363430","6","l","p11088588"
"21743003985744","2","m","p11089076"
"21743000719872","0","r","p11090510"
"21743002170678","6","l","p11095490"
"21743004045753","0","r","p11095581"
"21743005073622","0","r","p11097218"
"21743003988995","0","m","p11098703"
"21743004038626","0","r","p11098788"
"21743004044269","4","g","p11100230"
"21743005556485","0","m","p11100898"
"21743004093803","0","c","p11103516"
"21743003197308","6","l","p11103899"
"21743003711496","4","g","p11107352"
"21743003223245","0","r","p11108113"
"21743003999265","0","c","p11108733"
"21743002371664","0","r","p11108976"
"21743004006805","8","n","p11110211"
"21743004045001","0","m","p11111550"
"21743002362275","6","a","p11112864"
"21743002387595","0","m","p11113790"
"21743002386266","0","m","p11114757"
"21743002333680","0","r","p11117229"
"21743003799285","6","l","p11118210"
"21743004013173","0","m","p11120411"
"21743004089231","0","m","p11120976"
"21743002340867","4","g","p11121269"
"21743004909974","0","r","p11121634"
"21743002335834","0","r","p11121890"
"21743005022876","0","r","p11122043"
"21743002331049","2","m","p11123059"
"21743002924256","2","a","p11127107"
"21743003315413","8","n","p11128938"
"21743002954121","4","g","p11130064"
"21743004526265","0","m","p11131500"
"21743002340420","6","l","p11132218"
"21743003862067","0","m","p11132449"
"21743005151139","0","r","p11133405"
"21743003998721","0","x","p11134124"
"21743004919767","2","m","p11134999"
"21743002371151","0","r","p11136777"
"21743004018206","6","l","p1113785x"
"21743002373777","2","r","p11138853"
"21743004670592","2","m","p11139018"
"21743002091205","0","x","p11139122"
"21743005454897","0","m","p11139912"
"21743004011219","2","m","p11140689"
"21743002371342","0","r","p11141542"
"21743005217625","0","m","p11144713"
"21743002421303","6","l","p1114483x"
"21743002341956","4","g","p11149309"
"21743004079885","4","g","p11149450"
"21743002421808","6","m","p11149917"
"21743004546156","2","a","p11151912"
"21743002394583","0","r","p11152990"
"21743002398444","6","r","p11154755"
"21743002424950","2","m","p11155668"
"21743003763554","10","r","p11158943"
"21743004943460","12","c","p11163409"
"21743003353190","2","m","p1116413x"
"21743003117454","19","r","p11164797"
"21743004737441","2","m","p11166678"
"21743003339686","6","l","p11166745"
"21743003999091","2","c","p11169126"
"21743005180229","0","r","p1116914x"
"21743002887149","8","n","p11173142"
"21743005197645","0","m","p11174146"
"21743004985008","4","g","p11174286"
"21743004040309","0","a","p11177238"
"21743003998317","0","drive","p11179983"
"21743002589554","0","m","p11180572"
"21743002440584","0","r","p11181953"
"21743005573704","19","r","p11183433"
"21743004091088","0","m","p11185119"
"21743002609667","0","m","p1118517x"
"21743004044178","0","m","p11188327"
"21743003998218","0","c","p11192550"
"21743005265228","0","drive","p1119473x"
"21743005108303","0","a","p11199659"
"21743003999059","0","c","p11199969"
"21743002349363","2","a","p11203493"
"21743002610756","2","m","p11204989"
"21743003935905","0","s","p11207061"
"21743002712404","0","c","p11211544"
"21743002759272","0","r","p11214958"
"21743004087557","0","r","p11217790"
"21743003759750","0","m","p11217844"
"21743004079349","2","m","p11219373"
"21743005430830","2","m","p11221392"
